2022-11-18 14:46:26.342 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:26.880 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:35.575 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:49.019 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:49.550 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:50.087 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:46:50.607 uiautomation.py[6473] Refind -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 14:47:35.588 uiautomation.py[6473] Refind -> 2022-11-18 15:00:07.525 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:00:12.995 Tools.py[38] WinCtl -> Find Control Timeout(1.5s): {Name: '打印', ControlType: WindowControl}
2022-11-18 15:00:30.032 Tools.py[38] WinCtl -> 2022-11-18 15:01:05.048 Tools.py[12] GetMainWindow -> Find Control Timeout(20s): {Name: '增值税发票税控开票软件（金税盘版）', ControlType: WindowControl}
2022-11-18 15:01:28.785 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:01:43.125 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:01:43.653 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:01:44.170 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:01:44.686 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:02:07.505 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:02:21.976 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:02:22.514 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:02:23.061 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:02:23.587 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:02:31.774 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
